atlas_id,timestamp,provider,lat,lon,width,height
12,1376482882,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.589,-0.3565,0.0017,0.0014
13,1386417622,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.3651,10.8727,0.004,0.0019
14,1371832389,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.0699,-76.0984,0.0062,0.0029
14,1371832389,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.0699,-76.0925,0.0062,0.0029
14,1371832389,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.067,-76.0984,0.0062,0.0028
14,1371832389,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.067,-76.0925,0.0062,0.0028
15,1363983268,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,55.9922,-2.5123,0.0344,0.0134
16,1399027097,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,49.0427,34.4689,0.061,0.0507
16,1399027097,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,49.0427,34.5268,0.061,0.0507
16,1399027097,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.9921,34.4689,0.061,0.0507
16,1399027097,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.9921,34.5268,0.061,0.0507
16,1399027097,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.9413,34.4689,0.061,0.0507
16,1399027097,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.9413,34.5268,0.061,0.0507
16,1399027097,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8906,34.4689,0.061,0.0508
16,1399027097,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8906,34.5268,0.061,0.0508
16,1399027097,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8398,34.4689,0.061,0.0508
16,1399027097,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8398,34.5268,0.061,0.0508
17,1422346586,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,23.7396,90.4029,0.0773,0.0495
18,1344936314,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3974,8.4998,0.0505,0.0217
18,1344936314,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3974,8.5478,0.0506,0.0217
18,1344936314,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3757,8.4998,0.0505,0.0217
18,1344936314,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3757,8.5478,0.0506,0.0217
18,1344936314,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3539,8.4998,0.0505,0.0217
18,1344936314,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3539,8.5478,0.0506,0.0217
19,1378380469,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,44.1352,4.8068,0.0031,0.0016
19,1378380469,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,44.1352,4.8099,0.0031,0.0016
19,1378380469,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,44.1337,4.8068,0.0031,0.0015
19,1378380469,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,44.1337,4.8099,0.0031,0.0015
19,1378380469,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,44.1321,4.8068,0.0031,0.0015
19,1378380469,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,44.1321,4.8099,0.0031,0.0015
19,1378380469,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,44.1306,4.8068,0.0031,0.0016
19,1378380469,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,44.1306,4.8099,0.0031,0.0016
20,1399243799,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8402,134.6875,0.008,0.0084
20,1399243799,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8402,134.6952,0.0081,0.0084
20,1399243799,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8319,134.6875,0.008,0.0083
20,1399243799,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8319,134.6952,0.0081,0.0083
20,1399243799,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8235,134.6875,0.008,0.0084
20,1399243799,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8235,134.6952,0.0081,0.0084
21,1412294132,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,12.788,119.8663,6.3836,3.9418
21,1412294132,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,12.788,125.9308,6.3836,3.9418
22,1367448068,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,45.0879,7.6313,0.0346,0.0171
22,1367448068,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,45.0879,7.666,0.0347,0.0171
22,1367448068,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,45.0879,7.7006,0.0347,0.0171
22,1367448068,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,45.0716,7.6313,0.0346,0.0172
22,1367448068,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,45.0716,7.666,0.0347,0.0172
22,1367448068,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,45.0716,7.7006,0.0347,0.0172
22,1367448068,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,45.0553,7.6313,0.0346,0.0172
22,1367448068,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,45.0553,7.666,0.0347,0.0172
22,1367448068,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,45.0553,7.7006,0.0347,0.0172
22,1367448068,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,45.0389,7.6313,0.0346,0.0171
22,1367448068,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,45.0389,7.666,0.0347,0.0171
22,1367448068,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,45.0389,7.7006,0.0347,0.0171
23,1348070877,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,40.7492,24.5266,0.2436,0.1292
23,1348070877,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,40.7492,24.7702,0.2436,0.1292
23,1348070877,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,40.626,24.5266,0.2436,0.1294
23,1348070877,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,40.626,24.7702,0.2436,0.1294
24,1402393057,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,53.5431,5.7952,6.7621,2.8113
24,1402393057,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,53.5431,12.5629,6.7621,2.8113
24,1402393057,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,53.5431,19.3304,6.7621,2.8113
24,1402393057,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.7785,5.7952,6.7621,2.9917
24,1402393057,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.7785,12.5629,6.7621,2.9917
24,1402393057,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.7785,19.3304,6.7621,2.9917
24,1402393057,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,47.8405,5.7952,6.7621,3.1757
24,1402393057,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,47.8405,12.5629,6.7621,3.1757
24,1402393057,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,47.8405,19.3304,6.7621,3.1757
24,1402393057,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,44.7262,5.7952,6.7621,3.3616
24,1402393057,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,44.7262,12.5629,6.7621,3.3616
24,1402393057,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,44.7262,19.3304,6.7621,3.3616
25,1366379622,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.0746,15.1304,0.144,0.0621
25,1366379622,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.0746,15.2673,0.1439,0.0621
25,1366379622,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.0746,15.4042,0.144,0.0621
25,1366379622,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.0125,15.1304,0.144,0.0621
25,1366379622,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.0125,15.2673,0.1439,0.0621
25,1366379622,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.0125,15.4042,0.144,0.0621
25,1366379622,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.9501,15.1304,0.144,0.0622
25,1366379622,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.9501,15.2673,0.1439,0.0622
25,1366379622,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.9501,15.4042,0.144,0.0622
25,1366379622,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.8877,15.1304,0.144,0.0623
25,1366379622,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.8877,15.2673,0.1439,0.0623
25,1366379622,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.8877,15.4042,0.144,0.0623
25,1366379623,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.8253,15.1304,0.144,0.0624
25,1366379623,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.8253,15.2673,0.1439,0.0624
25,1366379623,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.8253,15.4042,0.144,0.0624
25,1366379623,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.7628,15.1304,0.144,0.0624
25,1366379623,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.7628,15.2673,0.1439,0.0624
25,1366379623,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.7628,15.4042,0.144,0.0624
25,1366379623,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.7002,15.1304,0.144,0.0625
25,1366379623,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.7002,15.2673,0.1439,0.0625
25,1366379623,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.7002,15.4042,0.144,0.0625
26,1382427539,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,40.6653,16.6142,0.0221,0.0117
27,1353605112,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.5656,10.3244,0.0087,0.0044
27,1353605112,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.5656,10.3331,0.0086,0.0044
27,1353605112,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.5614,10.3244,0.0087,0.0044
27,1353605112,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.5614,10.3331,0.0086,0.0044
27,1353605112,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.5573,10.3244,0.0087,0.0044
27,1353605112,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.5573,10.3331,0.0086,0.0044
28,1344375927,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.7782,-4.1482,0.3332,0.1443
28,1344375927,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.7782,-3.815,0.3332,0.1443
28,1344375927,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.7782,-3.4818,0.3332,0.1443
28,1344375927,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.7782,-3.1486,0.3332,0.1443
28,1344375927,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.6407,-4.1482,0.3332,0.1447
28,1344375927,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.6407,-3.815,0.3332,0.1447
28,1344375927,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.6407,-3.4818,0.3332,0.1447
28,1344375927,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.6407,-3.1486,0.3332,0.1447
28,1344375927,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.5026,-4.1482,0.3332,0.1452
28,1344375927,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.5026,-3.815,0.3332,0.1452
28,1344375927,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.5026,-3.4818,0.3332,0.1452
28,1344375927,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.5026,-3.1486,0.3332,0.1452
29,1347819484,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,39.0717,-76.5815,0.0386,0.042
29,1347819484,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,39.0717,-76.5429,0.0386,0.042
30,1419660872,http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg,-6.4756,106.8237,0.0016,0.0019
31,1422038483,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,13.6985,-89.2113,0.0244,0.015
32,1344236896,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,-41.3045,174.7828,0.0296,0.0155
32,1344236896,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,-41.3194,174.7828,0.0296,0.0155
32,1344236896,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,-41.3342,174.7828,0.0296,0.0155
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.8556,0.0797,0.0797
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.1732,0.0798,0.0797
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.0973,0.0798,0.0797
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.7797,0.0797,0.0797
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.7039,0.0798,0.0797
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.6281,0.0798,0.0797
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.5522,0.0798,0.0797
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.4764,0.0797,0.0797
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.4006,0.0797,0.0797
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.3248,0.0798,0.0797
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.249,0.0798,0.0797
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.8556,0.0797,0.0798
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.1732,0.0798,0.0798
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.0973,0.0798,0.0798
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.7797,0.0797,0.0798
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.7039,0.0798,0.0798
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.6281,0.0798,0.0798
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.5522,0.0798,0.0798
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.4764,0.0797,0.0798
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.4006,0.0797,0.0798
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.3248,0.0798,0.0798
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.249,0.0798,0.0798
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.8556,0.0797,0.0799
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.1732,0.0798,0.0799
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.0973,0.0798,0.0799
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.7797,0.0797,0.0799
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.7039,0.0798,0.0799
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.6281,0.0798,0.0799
